date,AveragePrice,InflationRate,InterestRate,MortgageRate,SupplyRate,UnemploymentRate,PopulationGrowth
1990-01-01,151700.0,4.1,4.1276234,9.895,7.0,5.4,248743.0
1990-02-01,150900.0,4.1,4.36692739,10.1975,7.6,5.3,248920.0
1990-03-01,144600.0,3.7,4.55196762,10.268,7.8,5.2,249146.0
1990-04-01,153400.0,3.6,4.55216196,10.37,8.3,5.4,249436.0
1990-05-01,150600.0,3.4,4.80506176,10.4775,8.2,5.4,249707.0
1990-06-01,150400.0,3.8,4.38261115,10.164,7.9,5.2,249990.0
1990-07-01,149800.0,3.4,4.3418185,10.035,7.8,5.5,250285.0
1990-08-01,144700.0,4.6,4.17053207,10.1,8.2,5.7,250595.0
1990-09-01,142100.0,4.7,4.3987447,10.175,8.4,5.9,250904.0
1990-10-01,153000.0,4.8,4.20053902,10.1775,8.7,5.9,251201.0
1990-11-01,143300.0,4.7,4.05885498,10.014,8.2,6.2,251486.0
1990-12-01,153400.0,4.7,3.8939207,9.6725,8.5,6.3,251758.0
1991-01-01,148600.0,3.9,3.92293115,9.6375,9.4,6.4,252012.0
1991-02-01,147800.0,3.4,3.90705382,9.365,7.9,6.6,252253.0
1991-03-01,156400.0,3.3,4.17583618,9.5,7.3,6.8,252507.0
1991-04-01,150800.0,3.2,4.1098331,9.4925,7.3,6.7,252778.0
1991-05-01,145400.0,3.1,4.04991631,9.472,7.0,6.9,253060.0
1991-06-01,145900.0,3.3,4.18764426,9.615,7.0,6.9,253350.0
1991-07-01,148200.0,3.1,4.22225375,9.575,7.1,6.8,253650.0
1991-08-01,141800.0,3.2,4.13991739,9.244,6.8,6.9,253966.0
1991-09-01,147300.0,3.0,3.87849555,9.0075,7.4,6.9,254280.0
1991-10-01,147400.0,3.2,3.63786206,8.855,6.7,7.0,254576.0
1991-11-01,141700.0,2.9,3.56505772,8.712,6.2,7.0,254841.0
1991-12-01,143000.0,2.7,3.41033346,8.497499999999999,6.2,7.3,255089.0
1992-01-01,144200.0,2.7,3.19854245,8.431999999999999,5.2,7.3,255331.0
1992-02-01,144800.0,2.6,3.62829159,8.7625,4.9,7.4,255576.0
1992-03-01,144800.0,2.6,3.66026498,8.935,6.1,7.4,255848.0
1992-04-01,145000.0,3.0,3.78985987,8.8525,6.1,7.4,256139.0
1992-05-01,146000.0,2.9,3.74616997,8.672,6.0,7.6,256437.0
1992-06-01,146600.0,3.1,3.56857666,8.51,5.6,7.8,256742.0
1992-07-01,137700.0,2.7,3.35309944,8.128,5.3,7.7,257063.0
1992-08-01,145300.0,2.8,3.1248226,7.975,5.2,7.6,257390.0
1992-09-01,142200.0,3.0,2.95734236,7.922499999999999,5.0,7.6,257704.0
1992-10-01,148400.0,2.8,2.72804375,8.088,5.1,7.3,258004.0
1992-11-01,147200.0,2.9,3.32463334,8.305,5.4,7.4,258280.0
1992-12-01,146200.0,2.8,3.50968543,8.206,5.0,7.4,258546.0
1993-01-01,138900.0,2.9,3.26790846,7.9925,5.4,7.3,258799.0
1993-02-01,149400.0,3.2,3.00478524,7.6825,5.3,7.1,259036.0
1993-03-01,146600.0,3.1,2.67342493,7.495,5.4,7.0,259283.0
1993-04-01,148400.0,3.0,2.77451693,7.471999999999999,4.7,7.1,259547.0
1993-05-01,152300.0,2.9,2.66472062,7.465,5.3,7.1,259822.0
1993-06-01,145700.0,3.5,2.76123734,7.4175,5.2,7.0,260109.0
1993-07-01,143400.0,3.0,2.59179878,7.206,5.3,6.9,260411.0
1993-08-01,150600.0,3.2,2.70290307,7.1125,5.5,6.8,260717.0
1993-09-01,150100.0,3.0,2.45058069,6.915,4.9,6.7,261015.0
1993-10-01,146900.0,3.3,2.39884319,6.8340000000000005,5.0,6.8,261294.0
1993-11-01,152500.0,2.8,2.56229533,7.155,4.8,6.6,261550.0
1993-12-01,146400.0,3.0,2.72011647,7.172,4.5,6.5,261796.0
1994-01-01,153400.0,2.8,2.77268493,7.0600000000000005,5.9,6.6,262021.0
1994-02-01,150700.0,2.8,2.62016875,7.1525,5.0,6.6,262237.0
1994-03-01,152800.0,3.0,2.97120305,7.675,4.8,6.5,262491.0
1994-04-01,152900.0,3.0,3.65918278,8.315999999999999,5.2,6.4,262754.0
1994-05-01,151800.0,3.1,3.62457709,8.5975,5.3,6.1,263014.0
1994-06-01,158400.0,2.7,3.59356552,8.3975,6.2,6.1,263294.0
1994-07-01,144400.0,2.9,3.7864194,8.614,6.3,6.1,263580.0
1994-08-01,154900.0,3.1,3.58028405,8.5125,6.1,6.0,263871.0
1994-09-01,157200.0,3.4,3.6371045,8.64,6.0,5.9,264159.0
1994-10-01,153000.0,3.0,3.95662307,8.925,5.6,5.8,264430.0
