PopulationGrowth,date
248743.0,1990-01-01
248920.0,1990-02-01
249146.0,1990-03-01
249436.0,1990-04-01
249707.0,1990-05-01
249990.0,1990-06-01
250285.0,1990-07-01
250595.0,1990-08-01
250904.0,1990-09-01
251201.0,1990-10-01
251486.0,1990-11-01
251758.0,1990-12-01
252012.0,1991-01-01
252253.0,1991-02-01
252507.0,1991-03-01
252778.0,1991-04-01
253060.0,1991-05-01
253350.0,1991-06-01
253650.0,1991-07-01
253966.0,1991-08-01
254280.0,1991-09-01
254576.0,1991-10-01
254841.0,1991-11-01
255089.0,1991-12-01
255331.0,1992-01-01
255576.0,1992-02-01
255848.0,1992-03-01
256139.0,1992-04-01
256437.0,1992-05-01
256742.0,1992-06-01
257063.0,1992-07-01
257390.0,1992-08-01
257704.0,1992-09-01
258004.0,1992-10-01
258280.0,1992-11-01
258546.0,1992-12-01
258799.0,1993-01-01
259036.0,1993-02-01
259283.0,1993-03-01
259547.0,1993-04-01
259822.0,1993-05-01
260109.0,1993-06-01
260411.0,1993-07-01
260717.0,1993-08-01
261015.0,1993-09-01
261294.0,1993-10-01
261550.0,1993-11-01
261796.0,1993-12-01
262021.0,1994-01-01
262237.0,1994-02-01
262491.0,1994-03-01
262754.0,1994-04-01
263014.0,1994-05-01
263294.0,1994-06-01
263580.0,1994-07-01
263871.0,1994-08-01
264159.0,1994-09-01
264430.0,1994-10-01
264681.0,1994-11-01
264924.0,1994-12-01
265157.0,1995-01-01
265383.0,1995-02-01
265625.0,1995-03-01
265877.0,1995-04-01
266134.0,1995-05-01
266414.0,1995-06-01
266700.0,1995-07-01
266998.0,1995-08-01
267304.0,1995-09-01
267585.0,1995-10-01
267829.0,1995-11-01
268047.0,1995-12-01
268258.0,1996-01-01
268480.0,1996-02-01
268724.0,1996-03-01
268980.0,1996-04-01
269247.0,1996-05-01
269527.0,1996-06-01
269822.0,1996-07-01
270130.0,1996-08-01
270433.0,1996-09-01
270730.0,1996-10-01
271002.0,1996-11-01
271243.0,1996-12-01
271472.0,1997-01-01
271703.0,1997-02-01
271952.0,1997-03-01
272213.0,1997-04-01
272482.0,1997-05-01
272767.0,1997-06-01
273074.0,1997-07-01
273395.0,1997-08-01
273703.0,1997-09-01
273989.0,1997-10-01
274249.0,1997-11-01
274499.0,1997-12-01
274732.0,1998-01-01
274943.0,1998-02-01
275175.0,1998-03-01
275434.0,1998-04-01
275700.0,1998-05-01
275976.0,1998-06-01
276266.0,1998-07-01
276566.0,1998-08-01
276859.0,1998-09-01
277140.0,1998-10-01
277402.0,1998-11-01
277658.0,1998-12-01
277891.0,1999-01-01
278095.0,1999-02-01
278324.0,1999-03-01
278584.0,1999-04-01
278859.0,1999-05-01
279148.0,1999-06-01
279448.0,1999-07-01
279752.0,1999-08-01
280053.0,1999-09-01
280337.0,1999-10-01
280594.0,1999-11-01
280846.0,1999-12-01
281083.0,2000-01-01
281299.0,2000-02-01
281531.0,2000-03-01
281763.0,2000-04-01
281996.0,2000-05-01
282247.0,2000-06-01
282504.0,2000-07-01
282769.0,2000-08-01
283033.0,2000-09-01
283285.0,2000-10-01
283523.0,2000-11-01
283748.0,2000-12-01
283960.0,2001-01-01
284166.0,2001-02-01
284380.0,2001-03-01
284602.0,2001-04-01
284834.0,2001-05-01
285076.0,2001-06-01
285324.0,2001-07-01
285584.0,2001-08-01
285842.0,2001-09-01
286086.0,2001-10-01
286315.0,2001-11-01
286533.0,2001-12-01
286739.0,2002-01-01
286935.0,2002-02-01
287131.0,2002-03-01
287343.0,2002-04-01
287571.0,2002-05-01
287808.0,2002-06-01
288051.0,2002-07-01
288303.0,2002-08-01
288554.0,2002-09-01
288794.0,2002-10-01
289012.0,2002-11-01
289214.0,2002-12-01
289412.0,2003-01-01
289606.0,2003-02-01
289809.0,2003-03-01
290024.0,2003-04-01
290250.0,2003-05-01
290484.0,2003-06-01
290726.0,2003-07-01
290974.0,2003-08-01
291222.0,2003-09-01
